,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,tuatapere,NZ,,-46.1333,167.6833,11,82,50.92,2.46
1,manokwari,ID,,-0.8667,134.0833,77,74,83.17,5.01
2,sitka,US,,57.0531,-135.33,100,71,48.09,6.91
3,butterworth,MY,,5.3991,100.3638,20,79,89.64,5.75
4,vaini,TO,,-21.2,-175.2,75,68,73.56,8.05
5,cape town,ZA,,-33.9258,18.4232,0,85,54.12,1.14
6,nikolskoye,RU,,59.7035,30.7861,81,79,47.88,7.63
7,sokone,SN,,13.8833,-16.3667,1,80,72.25,7.43
8,busselton,AU,,-33.65,115.3333,100,55,62.76,7.47
9,chantada,ES,,42.6088,-7.7712,70,98,52.07,4.34
10,grand river south east,,,,,,,,
11,kaseda,JP,,31.4167,130.3167,100,60,63.52,12.59
12,rikitea,PF,,-23.1203,-134.9692,100,74,76.48,21.07
13,brownwood,US,,31.7093,-98.9912,3,58,81.72,9.69
14,byron bay,AU,,-28.65,153.6167,51,88,74.8,4.59
15,hualmay,PE,,-11.0964,-77.6139,25,89,62.19,7.31
16,mahon,ES,,39.8885,4.2658,0,94,61.36,6.91
17,taolanaro,,,,,,,,
18,bredasdorp,ZA,,-34.5322,20.0403,0,87,50.65,3.13
19,mitsamiouli,KM,,-11.3847,43.2844,0,69,80.76,6.91
20,torbay,CA,,47.6666,-52.7314,20,93,31.75,5.75
21,castro,BR,,-24.7911,-50.0119,100,98,55.67,3.18
22,acapulco,MX,,16.8634,-99.8901,100,74,84.02,8.05
23,lompoc,US,,34.6391,-120.4579,0,84,63.01,6.91
24,linchuan,,,,,,,,
25,gobabis,NA,,-22.45,18.9667,0,33,54.79,7.38
26,lalibela,ET,,12.0333,39.0333,3,29,68.22,4.47
27,hithadhoo,MV,,-0.6,73.0833,72,69,82.63,6.13
28,cabra,ES,,37.4725,-4.4421,42,91,57.38,3.2
29,coquimbo,CL,,-29.9533,-71.3436,100,94,55.13,8.05
30,orangeville,CA,,43.9168,-80.0997,73,92,62.58,1.86
31,aykhal,RU,,66,111.5,100,89,40.82,3.85
32,ushuaia,AR,,-54.8,-68.3,40,75,42.46,13.8
33,ponta do sol,PT,,32.6667,-17.1,23,75,66.7,7.9
34,albany,US,,42.6001,-73.9662,100,87,68.18,3.11
35,upernavik,GL,,72.7868,-56.1549,15,89,5.09,4.25
36,pacific grove,US,,36.6177,-121.9166,0,86,61.02,11.99
37,chuy,UY,,-33.6971,-53.4616,91,91,55.63,7.25
38,hambantota,LK,,6.1241,81.1185,40,74,88.14,13.8
39,tuktoyaktuk,CA,,69.4541,-133.0374,100,80,24.8,10.36
40,bengkulu,ID,,-3.8004,102.2655,17,72,85.55,8.03
41,ocos,GT,,14.5094,-92.1933,29,72,83.88,5.57
42,lata,PT,,40.1629,-8.3327,92,90,59.56,5.08
43,beipiao,CN,,41.7919,120.7792,53,14,72.79,11.56
44,ust-nera,RU,,64.5667,143.2,100,88,35.89,8.34
45,northam,GB,,51.0333,-4.2167,100,95,53.62,11.1
46,same,TZ,,-4.0667,37.7333,48,82,67.69,2.71
47,batagay-alyta,RU,,67.8006,130.4114,66,69,22.3,4.68
48,tari,NG,,12.4086,4.4914,42,53,86.02,7.49
49,qaanaaq,GL,,77.484,-69.3632,68,66,15.8,6.38
50,otavi,NA,,-19.65,17.3333,0,35,58.5,5.57
51,utinga,BR,,-5.8172,-35.3954,75,100,77.4,4.61
52,puerto del rosario,ES,,28.5004,-13.8627,0,82,65.95,9.22
53,sampit,ID,,-2.5333,112.95,100,56,90.41,3.98
54,punta arenas,CL,,-53.15,-70.9167,20,93,37.51,6.91
55,ponta delgada,PT,,37.7333,-25.6667,75,67,59.72,26.46
56,mataura,NZ,,-46.1927,168.8643,22,87,50.49,1.19
57,comodoro rivadavia,AR,,-45.8667,-67.5,0,57,46.26,10.36
58,puerto ayora,EC,,-0.7393,-90.3518,98,96,72.55,1.01
59,kapaa,US,,22.0752,-159.319,0,72,80.58,12.66
60,karpathos,GR,,35.507,27.2132,20,82,64.36,18.41
61,balclutha,NZ,,-46.2339,169.75,39,92,47.01,2.62
62,bluff,NZ,,-46.6,168.3333,56,73,50.81,5.91
63,amderma,,,,,,,,
64,atuona,PF,,-9.8,-139.0333,16,78,78.21,17.56
65,ancud,CL,,-41.8697,-73.8203,0,84,44.04,5.99
66,dwarka,IN,,22.2394,68.9678,0,70,86.13,15.17
67,launceston,AU,,-41.45,147.1667,100,78,61.81,24.16
68,belushya guba,,,,,,,,
69,ribeira grande,PT,,38.5167,-28.7,84,62,60.24,26.24
70,akom,CM,,2.6678,12.7109,100,98,67.98,0.98
71,avarua,CK,,-21.2078,-159.775,75,69,78.85,6.91
72,urumqi,CN,,43.801,87.6005,0,8,79.75,15.66
73,provideniya,RU,,64.3833,-173.3,99,89,37.22,10.87
74,ajdabiya,LY,,30.7554,20.2263,0,70,65.01,5.59
75,port lincoln,AU,,-34.7333,135.8667,25,67,64.18,23.42
76,barrow,US,,71.2906,-156.7887,0,93,28.42,16.11
77,rawson,AR,,-43.3002,-65.1023,0,58,49.28,21.5
78,east london,ZA,,-33.0153,27.9116,0,87,54.54,9.22
79,chokurdakh,RU,,70.6333,147.9167,100,83,22.82,3.69
80,atambua,ID,,-9.1061,124.8925,94,70,81.81,1.9
81,taft,IR,,31.7471,54.2088,0,28,64.35,2.3
82,codrington,AU,,-38.2667,141.9667,19,61,65.43,22.59
83,hami,CN,,42.8,93.45,28,5,78.46,9.48
84,dikson,RU,,73.5069,80.5464,100,88,31.98,3.06
85,nizhneyansk,,,,,,,,
86,mahebourg,MU,,-20.4081,57.7,40,83,79.25,8.05
87,cabo san lucas,MX,,22.8909,-109.9124,100,55,81.7,9.17
88,saint-pierre,RE,,-21.3393,55.4781,0,53,74.91,6.91
89,thompson,CA,,55.7435,-97.8558,100,100,39.36,2.3
90,westport,US,,41.1415,-73.3579,100,96,65.3,3.44
91,tiksi,RU,,71.6872,128.8694,35,86,20.89,8.01
92,vila velha,BR,,-20.3297,-40.2925,100,94,71.55,4.61
93,souillac,MU,,-20.5167,57.5167,40,83,75.58,8.05
94,peniche,PT,,39.3558,-9.3811,100,90,63.09,11.32
95,arraial do cabo,BR,,-22.9661,-42.0278,98,73,72.77,15.68
96,bandarbeyla,SO,,9.4942,50.8122,8,59,87.94,19.13
97,taitung,TW,,22.7583,121.1444,75,94,75.47,10.36
98,sevilla,ES,,37.3824,-5.9761,75,88,64.08,4.61
99,padang,ID,,-0.9492,100.3543,17,72,87.85,5.79
100,tasiilaq,GL,,65.6145,-37.6368,100,70,26.76,4.97
101,tsabong,BW,,-26.0217,22.401,0,26,57.2,9.22
102,faya,SA,,18.3851,42.4509,0,14,66.31,9.8
103,ostrovnoy,RU,,68.0531,39.5131,76,71,40.06,7.2
104,jamestown,US,,42.097,-79.2353,100,92,65.79,0
105,cherskiy,RU,,68.75,161.3,96,74,28.36,15.46
106,guerrero negro,MX,,27.9769,-114.0611,8,81,61.83,10.69
107,bonavista,CA,,48.6499,-53.1147,19,74,33.73,2.37
108,batavia,US,,41.85,-88.3126,0,64,71.58,6.91
109,port alfred,ZA,,-33.5906,26.891,0,79,58.32,2.57
110,kismayo,SO,,-0.3582,42.5454,86,75,81.86,13.87
111,basoko,CD,,1.2391,23.616,98,92,72.5,1.32
112,goure,NE,,13.9835,10.2704,65,19,75.34,7.74
113,umzimvubu,,,,,,,,
114,namatanai,PG,,-3.6667,152.4333,54,64,84.79,4.03
115,new norfolk,AU,,-42.7826,147.0587,66,56,67.5,1.99
116,attawapiskat,,,,,,,,
117,yulara,AU,,-25.2406,130.9889,33,39,76.71,9.31
118,hilo,US,,19.7297,-155.09,75,84,75.27,10.36
119,yellowknife,CA,,62.456,-114.3525,75,53,48.72,11.5
120,butaritari,KI,,3.0707,172.7902,4,71,81.37,6.46
121,juifang,,,,,,,,
122,rongcheng,CN,,30.634,117.8517,100,40,70.97,6.4
123,atar,MR,,20.5169,-13.0499,93,13,86.67,7.23
124,thinadhoo,MV,,0.5333,72.9333,93,70,83.37,9.75
125,khatanga,RU,,71.9667,102.5,100,100,33.71,11.39
126,iqaluit,CA,,63.7506,-68.5145,75,79,17.33,9.22
127,avera,US,,33.194,-82.5271,100,69,65.71,3.36
128,faanui,PF,,-16.4833,-151.75,19,65,81.46,6.06
129,constitucion,CL,,-35.3333,-72.4167,0,57,50.94,4.97
130,katherine,AU,,-14.4667,132.2667,0,19,97.12,10.36
131,narsaq,GL,,60.9167,-46.05,98,63,37.62,5.06
132,abonnema,NG,,4.7084,6.7931,33,93,76.48,2.42
133,bethel,US,,41.3712,-73.414,100,93,65.35,4.61
134,mayo,US,,38.8876,-76.5119,100,97,66.61,0
135,tukrah,LY,,32.5341,20.5791,0,78,65.03,4.16
136,okakarara,NA,,-20.5833,17.4333,0,37,52.41,4.5
137,illoqqortoormiut,,,,,,,,
138,biak,ID,,-0.9131,122.8766,100,78,81.68,3.67
139,barentsburg,,,,,,,,
140,sola,VU,,-13.8833,167.55,83,73,79.83,15.23
141,luderitz,NA,,-26.6481,15.1594,14,39,62.94,7.54
142,salalah,OM,,17.0151,54.0924,1,65,84.29,1.14
143,benemerito de las americas,MX,,16.5167,-90.6439,71,67,75,0.96
144,vila,PT,,42.0304,-8.1588,67,92,52.68,6.02
145,bara,NG,,10.3744,10.7288,88,64,80.37,6.22
146,lavrentiya,RU,,65.5833,-171,100,98,33.24,5.44
147,fort-shevchenko,KZ,,44.5086,50.263,42,67,61.79,7.14
148,areosa,PT,,41.7178,-8.8571,88,93,60.71,16.96
149,nara,JP,,34.6851,135.8049,100,31,69.49,4.83
150,lagoa,PT,,39.05,-27.9833,79,65,58.55,28.01
151,tautira,PF,,-17.7333,-149.15,21,74,80.28,9.31
152,saskylakh,RU,,71.9167,114.0833,100,99,32.9,10.07
153,port elizabeth,ZA,,-33.918,25.5701,0,92,52.32,4.61
154,berezovyy,RU,,51.6667,135.7,100,49,51.15,1.28
155,along,IN,,28.1667,94.7667,99,84,76.12,2.73
156,urucara,BR,,-2.5364,-57.76,100,99,73.53,1.99
157,vostok,RU,,46.4856,135.8833,88,61,49.19,14.14
158,saint-philippe,RE,,-21.3585,55.7679,69,84,74.79,9.35
159,sulangan,PH,,11.1373,123.7228,97,75,82.94,4.23
160,cascais,PT,,38.6979,-9.4215,100,74,65.52,15.01
161,yerbogachen,RU,,61.2767,108.0108,62,29,65.53,5.82
162,culebra,PR,,18.303,-65.301,100,93,80.64,7
163,jatai,BR,,-17.8814,-51.7144,93,59,71.49,2.57
164,kiruna,SE,,67.8557,20.2251,46,87,36.52,4.61
165,georgetown,MY,,5.4112,100.3354,20,78,89.53,5.75
166,fortuna,US,,40.5982,-124.1573,100,94,57.09,0
167,olafsvik,IS,,64.8945,-23.7142,100,94,43.66,15.37
