,City,Country,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph),Date
0,tuatapere,NZ,-46.1333,167.6833,25.0,88.0,48.18,2.84,1652594964.0
1,manokwari,ID,-0.8667,134.0833,61.0,75.0,82.96,3.8,1652594965.0
2,sitka,US,57.0531,-135.33,75.0,76.0,46.29,5.75,1652594965.0
3,butterworth,MY,5.3991,100.3638,20.0,70.0,91.44,10.36,1652594966.0
4,vaini,TO,-21.2,-175.2,100.0,59.0,73.92,14.36,1652594789.0
5,cape town,ZA,-33.9258,18.4232,1.0,78.0,58.91,8.01,1652594407.0
6,nikolskoye,RU,59.7035,30.7861,82.0,72.0,49.91,8.52,1652594505.0
7,sokone,SN,13.8833,-16.3667,10.0,81.0,72.25,5.64,1652594967.0
8,busselton,AU,-33.65,115.3333,100.0,54.0,62.33,9.8,1652594968.0
9,chantada,ES,42.6088,-7.7712,68.0,97.0,53.74,4.94,1652594968.0
10,grand river south east,,,,,,,,
11,kaseda,JP,31.4167,130.3167,100.0,56.0,63.66,6.13,1652594969.0
12,rikitea,PF,-23.1203,-134.9692,100.0,74.0,75.81,21.3,1652594464.0
13,brownwood,US,31.7093,-98.9912,1.0,64.0,79.92,15.64,1652594773.0
14,byron bay,AU,-28.65,153.6167,83.0,93.0,72.79,2.73,1652594970.0
15,hualmay,PE,-11.0964,-77.6139,19.0,90.0,62.02,7.76,1652594675.0
16,mahon,ES,39.8885,4.2658,0.0,94.0,63.16,3.44,1652594971.0
17,taolanaro,,,,,,,,
18,bredasdorp,ZA,-34.5322,20.0403,0.0,86.0,51.39,3.06,1652594971.0
19,mitsamiouli,KM,-11.3847,43.2844,0.0,66.0,81.79,6.42,1652594972.0
20,torbay,CA,47.6666,-52.7314,6.0,92.0,34.27,4.0,1652594973.0
21,castro,BR,-24.7911,-50.0119,100.0,98.0,55.67,2.33,1652594973.0
22,acapulco,MX,16.8634,-99.8901,100.0,79.0,84.02,8.05,1652594776.0
23,lompoc,US,34.6391,-120.4579,0.0,83.0,57.34,0.0,1652594974.0
24,linchuan,,,,,,,,
25,gobabis,NA,-22.45,18.9667,0.0,29.0,58.12,8.12,1652594975.0
26,lalibela,ET,12.0333,39.0333,6.0,24.0,72.1,1.41,1652594975.0
27,hithadhoo,MV,-0.6,73.0833,49.0,68.0,82.85,6.58,1652594976.0
28,cabra,ES,37.4725,-4.4421,57.0,91.0,59.14,1.12,1652594977.0
29,coquimbo,CL,-29.9533,-71.3436,100.0,100.0,53.33,1.14,1652594977.0
30,orangeville,CA,43.9168,-80.0997,63.0,91.0,62.42,4.16,1652594978.0
31,aykhal,RU,66.0,111.5,100.0,99.0,38.43,2.15,1652594978.0
32,ushuaia,AR,-54.8,-68.3,0.0,81.0,38.86,11.5,1652594848.0
33,ponta do sol,PT,32.6667,-17.1,26.0,79.0,66.7,7.92,1652594979.0
34,albany,US,42.6001,-73.9662,100.0,92.0,65.62,3.62,1652594775.0
35,upernavik,GL,72.7868,-56.1549,16.0,91.0,4.93,4.45,1652594980.0
36,pacific grove,US,36.6177,-121.9166,100.0,92.0,57.24,10.0,1652594980.0
37,chuy,UY,-33.6971,-53.4616,90.0,93.0,56.37,7.25,1652594981.0
38,hambantota,LK,6.1241,81.1185,40.0,74.0,88.14,14.97,1652594981.0
39,tuktoyaktuk,CA,69.4541,-133.0374,98.0,82.0,26.92,6.67,1652594982.0
40,bengkulu,ID,-3.8004,102.2655,24.0,75.0,85.12,8.81,1652594982.0
41,ocos,GT,14.5094,-92.1933,41.0,75.0,78.98,5.12,1652594983.0
42,lata,PT,40.1629,-8.3327,98.0,91.0,58.78,5.5,1652594788.0
43,beipiao,CN,41.7919,120.7792,61.0,12.0,73.81,12.77,1652594984.0
44,ust-nera,RU,64.5667,143.2,100.0,86.0,36.61,8.05,1652594984.0
45,northam,GB,51.0333,-4.2167,100.0,92.0,54.66,12.26,1652594985.0
46,same,TZ,-4.0667,37.7333,56.0,73.0,70.86,3.69,1652594985.0
47,batagay-alyta,RU,67.8006,130.4114,70.0,69.0,23.14,4.47,1652594986.0
48,tari,NG,12.4086,4.4914,61.0,56.0,85.84,6.31,1652594986.0
49,qaanaaq,GL,77.484,-69.3632,84.0,70.0,16.14,6.6,1652594987.0
50,otavi,NA,-19.65,17.3333,0.0,33.0,62.28,5.39,1652594987.0
51,utinga,BR,-5.8172,-35.3954,75.0,100.0,76.05,4.61,1652594988.0
52,puerto del rosario,ES,28.5004,-13.8627,32.0,86.0,64.09,7.34,1652594989.0
53,sampit,ID,-2.5333,112.95,83.0,54.0,91.42,4.79,1652594989.0
54,punta arenas,CL,-53.15,-70.9167,20.0,93.0,37.51,6.91,1652594978.0
55,ponta delgada,PT,37.7333,-25.6667,40.0,72.0,59.72,25.32,1652594990.0
56,mataura,NZ,-46.1927,168.8643,21.0,94.0,48.47,2.04,1652594990.0
57,comodoro rivadavia,AR,-45.8667,-67.5,0.0,61.0,44.46,10.36,1652594991.0
58,puerto ayora,EC,-0.7393,-90.3518,94.0,97.0,71.55,5.5,1652594992.0
59,kapaa,US,22.0752,-159.319,40.0,79.0,78.78,11.5,1652594992.0
60,karpathos,GR,35.507,27.2132,20.0,77.0,67.96,21.85,1652594993.0
61,balclutha,NZ,-46.2339,169.75,24.0,96.0,43.65,1.66,1652594993.0
62,bluff,NZ,-46.6,168.3333,37.0,77.0,48.79,8.59,1652594994.0
63,amderma,,,,,,,,
64,atuona,PF,-9.8,-139.0333,17.0,77.0,78.51,17.49,1652594994.0
65,ancud,CL,-41.8697,-73.8203,0.0,85.0,43.86,6.71,1652594995.0
66,dwarka,IN,22.2394,68.9678,0.0,69.0,86.97,15.84,1652594995.0
67,launceston,AU,-41.45,147.1667,75.0,77.0,60.44,23.02,1652594996.0
68,belushya guba,,,,,,,,
69,ribeira grande,PT,38.5167,-28.7,90.0,63.0,59.74,23.17,1652594997.0
70,akom,CM,2.6678,12.7109,99.0,96.0,69.6,1.39,1652594997.0
71,avarua,CK,-21.2078,-159.775,75.0,63.0,78.76,12.48,1652594998.0
72,urumqi,CN,43.801,87.6005,0.0,14.0,79.75,11.18,1652594998.0
73,provideniya,RU,64.3833,-173.3,96.0,91.0,36.46,9.55,1652594999.0
74,ajdabiya,LY,30.7554,20.2263,0.0,58.0,68.31,6.91,1652594999.0
75,port lincoln,AU,-34.7333,135.8667,27.0,69.0,62.96,21.81,1652595000.0
76,barrow,US,71.2906,-156.7887,0.0,80.0,26.62,14.97,1652595001.0
77,rawson,AR,-43.3002,-65.1023,0.0,62.0,49.06,21.68,1652595001.0
78,east london,ZA,-33.0153,27.9116,0.0,82.0,56.34,8.05,1652595004.0
79,chokurdakh,RU,70.6333,147.9167,100.0,82.0,23.27,3.76,1652595004.0
80,atambua,ID,-9.1061,124.8925,94.0,73.0,81.25,2.17,1652595006.0
81,taft,IR,31.7471,54.2088,0.0,23.0,69.75,2.3,1652595007.0
